Dataset,Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC
Elliptic Bitcoin,GCN,0.8992,0.4909,0.8878,0.6322,0.9612,0.7948
Elliptic Bitcoin,GraphSAGE,0.9229,0.5664,0.8966,0.6942,0.9727,0.8787
Elliptic Bitcoin,GAT,0.8179,0.3433,0.9483,0.5041,0.9644,0.8094
Credit Card,GCN,0.9792,0.4293,0.8367,0.5675,0.969,0.8468
Credit Card,GraphSAGE,0.9823,0.4775,0.8673,0.6159,0.9784,0.8724
Credit Card,GAT,0.9707,0.3388,0.8367,0.4824,0.9709,0.8416
PaySim Payments,GCN,0.8755,0.6536,0.8033,0.7207,0.9138,0.8208
PaySim Payments,GraphSAGE,0.8872,0.6848,0.8075,0.7411,0.9294,0.8495
PaySim Payments,GAT,0.8673,0.6325,0.8033,0.7078,0.9096,0.8281
Vehicle Insurance,GCN,0.643,0.1282,0.8541,0.223,0.814,0.1893
Vehicle Insurance,GraphSAGE,0.6667,0.1319,0.8162,0.2271,0.8212,0.1939
Vehicle Insurance,GAT,0.6219,0.1264,0.8973,0.2216,0.8137,0.1821
E-Commerce,GCN,0.7297,0.3927,0.6433,0.4877,0.7661,0.5598
E-Commerce,GraphSAGE,0.732,0.3984,0.6667,0.4988,0.7796,0.5777
E-Commerce,GAT,0.7112,0.3734,0.655,0.4756,0.7634,0.5555
